bundle_id,conference,gender,rank,team,score,champion_score,total_meet_points,champion_ratio,meet_share,base_tier,power_class,final_tier
bigten_2026,Big Ten,women,1,"Michigan, University of",1243.0,1243.0,8812.0,1.0,0.141058,Tier 1,Powerhouse,Tier 1B
bigten_2026,Big Ten,women,2,Indiana University,1084.0,1243.0,8812.0,0.872084,0.123014,Tier 1,Powerhouse,Tier 1B
bigten_2026,Big Ten,women,3,Ohio State University,1066.0,1243.0,8812.0,0.857603,0.120971,Tier 1,Powerhouse,Tier 1B
bigten_2026,Big Ten,women,4,"Wisconsin, University of, Madi",893.0,1243.0,8812.0,0.718423,0.101339,Tier 2,,Tier 2
bigten_2026,Big Ten,women,5,University of Southern Califor,768.0,1243.0,8812.0,0.61786,0.087154,Tier 2,,Tier 2
bigten_2026,Big Ten,women,6,University of Minnesota,701.0,1243.0,8812.0,0.563958,0.079551,Tier 3,,Tier 3
bigten_2026,Big Ten,women,7,"University of California, Los",605.5,1243.0,8812.0,0.487128,0.068713,Tier 3,,Tier 3
bigten_2026,Big Ten,women,8,Purdue University,497.0,1243.0,8812.0,0.399839,0.0564,Tier 3,,Tier 3
bigten_2026,Big Ten,women,9,Northwestern University,446.0,1243.0,8812.0,0.358809,0.050613,Tier 3,,Tier 3
bigten_2026,Big Ten,women,10,University of Nebraska-Lincoln,433.5,1243.0,8812.0,0.348753,0.049194,Tier 4,,Tier 4
bigten_2026,Big Ten,women,11,Rutgers University,379.5,1243.0,8812.0,0.30531,0.043066,Tier 4,,Tier 4
bigten_2026,Big Ten,women,12,"Iowa, University of",284.0,1243.0,8812.0,0.228479,0.032229,Tier 4,,Tier 4
bigten_2026,Big Ten,women,13,Pennsylvania State University,216.0,1243.0,8812.0,0.173773,0.024512,Tier 4,,Tier 4
bigten_2026,Big Ten,women,14,University of Illinois,195.5,1243.0,8812.0,0.157281,0.022186,Tier 4,,Tier 4
bigwest_2026,Big West,men,1,University of Hawaii,780.0,780.0,3300.0,1.0,0.236364,Tier 1,Powerhouse,Tier 1B
bigwest_2026,Big West,men,2,Grand Canyon University,728.0,780.0,3300.0,0.933333,0.220606,Tier 1,Powerhouse,Tier 1B
bigwest_2026,Big West,men,3,UC San Diego,571.0,780.0,3300.0,0.732051,0.17303,Tier 2,,Tier 2
bigwest_2026,Big West,men,4,UC Santa Barbara,568.0,780.0,3300.0,0.728205,0.172121,Tier 2,,Tier 2
bigwest_2026,Big West,men,5,Cal State Bakersfield,379.5,780.0,3300.0,0.486538,0.115,Tier 3,,Tier 3
bigwest_2026,Big West,men,6,Seattle U,273.5,780.0,3300.0,0.350641,0.082879,Tier 3,,Tier 3
bigwest_2026,Big West,women,1,University of Hawaii,798.0,798.0,3473.0,1.0,0.229773,Tier 1,Powerhouse,Tier 1B
bigwest_2026,Big West,women,2,UC Davis,692.0,798.0,3473.0,0.867168,0.199251,Tier 1,Powerhouse,Tier 1B
bigwest_2026,Big West,women,3,UC Santa Barbara,660.0,798.0,3473.0,0.827068,0.190037,Tier 2,,Tier 2
bigwest_2026,Big West,women,4,UC San Diego,644.0,798.0,3473.0,0.807018,0.18543,Tier 2,,Tier 2
bigwest_2026,Big West,women,5,University of San Diego,350.0,798.0,3473.0,0.438596,0.100777,Tier 3,,Tier 3
bigwest_2026,Big West,women,6,Cal State Bakersfield,172.0,798.0,3473.0,0.215539,0.049525,Tier 4,,Tier 4
bigwest_2026,Big West,women,7,Seattle U,157.0,798.0,3473.0,0.196742,0.045206,Tier 4,,Tier 4
caa_2026,CAA,men,1,University of North Carolina W,852.0,852.0,3073.0,1.0,0.277253,Tier 1,Super Powerhouse,Tier 1A
caa_2026,CAA,men,2,Towson University,789.0,852.0,3073.0,0.926056,0.256752,Tier 1,Super Powerhouse,Tier 1A
caa_2026,CAA,men,3,Drexel University,667.5,852.0,3073.0,0.783451,0.217214,Tier 2,,Tier 2
caa_2026,CAA,men,4,William and Mary,508.5,852.0,3073.0,0.596831,0.165473,Tier 3,,Tier 3
caa_2026,CAA,men,5,Monmouth University,256.0,852.0,3073.0,0.300469,0.083306,Tier 4,,Tier 4
caa_2026,CAA,women,1,William and Mary,1647.0,1647.0,7382.0,1.0,0.22311,Tier 1,Powerhouse,Tier 1B
caa_2026,CAA,women,2,University of North Carolina W,1415.5,1647.0,7382.0,0.859441,0.19175,Tier 1,Powerhouse,Tier 1B
caa_2026,CAA,women,3,Towson University,1117.5,1647.0,7382.0,0.678506,0.151382,Tier 2,,Tier 2
caa_2026,CAA,women,4,Northeastern University,980.0,1647.0,7382.0,0.595021,0.132755,Tier 3,,Tier 3
caa_2026,CAA,women,5,Drexel University,918.0,1647.0,7382.0,0.557377,0.124357,Tier 3,,Tier 3
caa_2026,CAA,women,6,Stony Brook University,536.0,1647.0,7382.0,0.32544,0.072609,Tier 4,,Tier 4
caa_2026,CAA,women,7,Campbell University,466.0,1647.0,7382.0,0.282939,0.063127,Tier 4,,Tier 4
caa_2026,CAA,women,8,Monmouth University,302.0,1647.0,7382.0,0.183364,0.04091,Tier 4,,Tier 4
cciw_2026,CCIW,men,1,Augustana College,1036.0,1036.0,3263.0,1.0,0.317499,Tier 1,Super Powerhouse,Tier 1A
cciw_2026,CCIW,men,2,Wheaton College,876.0,1036.0,3263.0,0.84556,0.268465,Tier 2,,Tier 2
cciw_2026,CCIW,men,3,Carthage College,756.0,1036.0,3263.0,0.72973,0.231689,Tier 2,,Tier 2
cciw_2026,CCIW,men,4,Illinois Wesleyan University,213.0,1036.0,3263.0,0.205598,0.065277,Tier 4,,Tier 4
cciw_2026,CCIW,men,5,Carroll University,199.0,1036.0,3263.0,0.192085,0.060987,Tier 4,,Tier 4
cciw_2026,CCIW,men,6,Millikin University,160.0,1036.0,3263.0,0.15444,0.049035,Tier 4,,Tier 4
cciw_2026,CCIW,men,7,North Central College,23.0,1036.0,3263.0,0.022201,0.007049,Tier 4,,Tier 4
cciw_2026,CCIW,women,1,Wheaton College,818.0,818.0,3403.0,1.0,0.240376,Tier 1,Super Powerhouse,Tier 1A
cciw_2026,CCIW,women,2,Augustana College,817.0,818.0,3403.0,0.998778,0.240082,Tier 1,Super Powerhouse,Tier 1A
cciw_2026,CCIW,women,3,Carthage College,736.0,818.0,3403.0,0.899756,0.21628,Tier 1,Powerhouse,Tier 1B
cciw_2026,CCIW,women,4,Illinois Wesleyan University,505.0,818.0,3403.0,0.617359,0.148398,Tier 2,,Tier 2
cciw_2026,CCIW,women,5,Carroll University,256.0,818.0,3403.0,0.312958,0.075228,Tier 4,,Tier 4
cciw_2026,CCIW,women,6,Millikin University,143.0,818.0,3403.0,0.174817,0.042022,Tier 4,,Tier 4
cciw_2026,CCIW,women,7,North Central College,128.0,818.0,3403.0,0.156479,0.037614,Tier 4,,Tier 4
coloradocollege_unknown,Colorado College,men,1,Johns Hopkins University,940.5,940.5,3513.0,1.0,0.26772,Tier 1,Super Powerhouse,Tier 1A
coloradocollege_unknown,Colorado College,men,2,Gettysburg College,726.0,940.5,3513.0,0.77193,0.206661,Tier 2,,Tier 2
coloradocollege_unknown,Colorado College,men,3,Swarthmore College,675.0,940.5,3513.0,0.717703,0.192143,Tier 2,,Tier 2
coloradocollege_unknown,Colorado College,men,4,Dickinson College,311.0,940.5,3513.0,0.330675,0.088528,Tier 4,,Tier 4
coloradocollege_unknown,Colorado College,men,5,Franklin & Marshall College,277.0,940.5,3513.0,0.294524,0.07885,Tier 4,,Tier 4
coloradocollege_unknown,Colorado College,men,6,Ursinus College,229.0,940.5,3513.0,0.243488,0.065186,Tier 4,,Tier 4
coloradocollege_unknown,Colorado College,men,7,Washington College,219.5,940.5,3513.0,0.233386,0.062482,Tier 4,,Tier 4
coloradocollege_unknown,Colorado College,men,8,McDaniel College Swim Team,135.0,940.5,3513.0,0.143541,0.038429,Tier 4,,Tier 4
coloradocollege_unknown,Colorado College,women,1,Swarthmore College,819.0,819.0,3472.0,1.0,0.235887,Tier 1,Powerhouse,Tier 1B
