Conference,Finish,Team,MenPoints,Tier,SourcePage,Key,ChampionPoints,MedianPoints,DominanceIndex,IsChampion,PSF,PowerClass,ChampionMeetShare,ChampionPowerClass,ChampionRatio,MeetTotalPoints,MeetShare,gender,final_tier,tier_short,generated_at,snapshot_version
Atlantic 10,9,Davidson College,169.0,Tier 4,0,Atlantic 10|Davidson College,600.0,0,0,0,1.0,,0.164339,Powerhouse,0.281667,3651.0,0.046289,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Atlantic 10,10,Saint Louis University,142.0,Tier 4,0,Atlantic 10|Saint Louis University,600.0,0,0,0,1.0,,0.164339,Powerhouse,0.236667,3651.0,0.038893,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,1,Arizona State University,1898.5,Tier 1,0,Big 12|Arizona State University,1898.5,0,0,1,1.0,Powerhouse,0.238027,Powerhouse,1.0,7976.0,0.238027,men,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,2,University of Arizona,1552.5,Tier 2,0,Big 12|University of Arizona,1898.5,0,0,0,1.0,,0.238027,Powerhouse,0.817751,7976.0,0.194646,men,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,3,University of Utah,1305.0,Tier 2,0,Big 12|University of Utah,1898.5,0,0,0,1.0,,0.238027,Powerhouse,0.687385,7976.0,0.163616,men,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,4,Texas Christian University,934.0,Tier 3,0,Big 12|Texas Christian University,1898.5,0,0,0,1.0,,0.238027,Powerhouse,0.491967,7976.0,0.117101,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,5,Brigham Young University,843.0,Tier 3,0,Big 12|Brigham Young University,1898.5,0,0,0,1.0,,0.238027,Powerhouse,0.444035,7976.0,0.105692,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,6,University of Cincinnati,802.0,Tier 3,0,Big 12|University of Cincinnati,1898.5,0,0,0,1.0,,0.238027,Powerhouse,0.422439,7976.0,0.100552,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,7,West Virginia University,641.0,Tier 4,0,Big 12|West Virginia University,1898.5,0,0,0,1.0,,0.238027,Powerhouse,0.337635,7976.0,0.080366,men,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,1,Arizona State University,1660.5,Tier 1,0,Big 12|Arizona State University,1660.5,0,0,1,1.0,Powerhouse,0.19117,Powerhouse,1.0,8686.0,0.19117,women,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,2,University of Arizona,1442.5,Tier 1,0,Big 12|University of Arizona,1660.5,0,0,0,1.0,Powerhouse,0.19117,Powerhouse,0.868714,8686.0,0.166072,women,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,3,University of Houston,1194.5,Tier 2,0,Big 12|University of Houston,1660.5,0,0,0,1.0,,0.19117,Powerhouse,0.719362,8686.0,0.13752,women,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,4,University of Cincinnati,770.0,Tier 3,0,Big 12|University of Cincinnati,1660.5,0,0,0,1.0,,0.19117,Powerhouse,0.463716,8686.0,0.088648,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,5,University of Kansas,739.5,Tier 3,0,Big 12|University of Kansas,1660.5,0,0,0,1.0,,0.19117,Powerhouse,0.445348,8686.0,0.085137,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,6,Texas Christian University,733.0,Tier 3,0,Big 12|Texas Christian University,1660.5,0,0,0,1.0,,0.19117,Powerhouse,0.441433,8686.0,0.084389,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
Big 12,7,University of Utah,693.0,Tier 3,0,Big 12|University of Utah,1660.5,0,0,0,1.0,,0.19117,Powerhouse,0.417344,8686.0,0.079784,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
