Bundle_ID,Conference,Source_File,Page_Number,Raw_Header_Text,Gender_Normalized,Event_Normalized,Round_Normalized,Accepted_YN,Rejection_Reason,State_Action,Intervening_Line_Type,Dedupe_Key,Notes
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,8,Event 17 Men 100 Yard Butterfly,men,100 Fly,unknown,yes,,finalize+open_event,,men:100 Fly,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,8,Event 17 Men 100 Yard Butterfly,men,100 Fly,unknown,yes,,finalize+open_event,,men:100 Fly,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,9,Preliminaries ... (Event 17 Men 100 Yard Butterfly),men,100 Fly,unknown,yes,,finalize+open_event,,men:100 Fly,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,9,Event 19 Men 200 Yard Freestyle,men,200 Free,unknown,yes,,finalize+open_event,,men:200 Free,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,10,Event 19 Men 200 Yard Freestyle,men,200 Free,unknown,yes,,finalize+open_event,,men:200 Free,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,10,Event 21 Men 100 Yard Breaststroke,men,100 Breast,unknown,yes,,finalize+open_event,,men:100 Breast,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,11,B - Final ... (Event 21 Men 100 Yard Breaststroke),men,100 Breast,B,yes,,finalize+open_event,,men:100 Breast,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,11,Event 21 Men 100 Yard Breaststroke,men,100 Breast,unknown,yes,,finalize+open_event,,men:100 Breast,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,11,Event 23 Men 100 Yard Backstroke,men,100 Back,unknown,yes,,finalize+open_event,,men:100 Back,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,12,B - Final ... (Event 23 Men 100 Yard Backstroke),men,100 Back,B,yes,,finalize+open_event,,men:100 Back,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,12,Event 23 Men 100 Yard Backstroke,men,100 Back,unknown,yes,,finalize+open_event,,men:100 Back,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,12,Event 25 Men 1650 Yard Freestyle,men,1650 Free,unknown,yes,,finalize+open_event,,men:1650 Free,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,13,(Event 25 Men 1650 Yard Freestyle),men,1650 Free,unknown,yes,,finalize+open_event,,men:1650 Free,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,14,(Event 25 Men 1650 Yard Freestyle),men,1650 Free,unknown,yes,,finalize+open_event,,men:1650 Free,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,14,Event 27 Men 200 Yard Backstroke,men,200 Back,unknown,yes,,finalize+open_event,,men:200 Back,session=prelims
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,14,Event 27 Men 200 Yard Backstroke,men,200 Back,unknown,yes,,finalize+open_event,,men:200 Back,session=prelims
